job_title,Location,skills,salary,company_name
Senior Data Analyst,"North Sydney, New South Wales, Australia","['Python', 'SQL', 'Excel', 'Power BI', 'Tableau', 'Communication']",,NielsenIQ
Data Analyst,"Melbourne, Victoria, Australia","['Python', 'R', 'SQL', 'Power BI', 'Tableau', 'Problem-solving']",,carsales
Data Analyst,"Sydney, New South Wales, Australia","['Python', 'R', 'SQL', 'Power BI', 'Tableau', 'Communication']",$500 ,Hays
Product Data Analyst,"Sydney, New South Wales, Australia",['Tableau'],,Tata Consultancy Services
Junior Data Operations Analyst - Hybrid,"Southbank, Victoria, Australia","['Python', 'SQL', 'Excel', 'Problem-solving']","aud,",Experian Asia Pacific
Data Analyst,"New South Wales, Australia","['Python', 'SQL', 'Excel']","$110,000 - $130,000 ",SearchabilityÂ®
Data Analyst,"Canberra, Australian Capital Territory, Australia","['Python', 'R', 'SQL', 'Excel', 'Power BI', 'Problem-solving']",$99k,Indigeco Pty Ltd
Data Analyst,"Sydney, New South Wales, Australia","['Python', 'R', 'Excel', 'Power BI', 'Communication']","$90,000 ",Aurora Education Foundation
Data Analyst,"Perth, Western Australia, Australia","['Python', 'R', 'SQL', 'Power BI', 'Machine Learning', 'Statistics', 'Snowflake', 'Problem-solving']",$214 ,AFG
Data Analyst,Australia,['Statistics'],$40,DataAnnotation
Data Analyst,"New South Wales, Australia","['Python', 'SQL', 'Machine Learning', 'Snowflake', 'Communication', 'Data Visualization']",$2000 ,Hatch
Insights Analyst,"Docklands, Victoria, Australia","['SQL', 'Excel', 'Communication', 'Problem-solving']",,MYER
Data Analyst,"Sydney, New South Wales, Australia","['SQL', 'Communication']",Competitive salary,hipages Group
Senior Data Analyst,"Melbourne, Victoria, Australia","['Python', 'SQL', 'Power BI', 'Snowflake']",,Flybuys
Reporting & Insights Analyst (PowerBI & Excel),"Altona North, Victoria, Australia","['Excel', 'Power BI', 'Communication']",,Toyota Motor Corporation Australia
Business Intelligence Analyst,"Sydney, New South Wales, Australia","['SQL', 'Power BI', 'Tableau', 'AWS', 'Snowflake', 'Communication', 'Problem-solving']",Competitive salary,Finsure
Power BI and Analytics,"Perth, Western Australia, Australia","['Power BI', 'AWS', 'Snowflake', 'Communication', 'Data Visualization']",,Infosys
Data Analyst,"Sydney, New South Wales, Australia","['Python', 'SQL', 'Machine Learning', 'Communication']",$120,Talent Insights Group
Data Analyst,"Sydney, New South Wales, Australia","['Python', 'SQL', 'Excel', 'Power BI']",,Avant Mutual
Data and Reporting Analyst,"Canberra, Australian Capital Territory, Australia","['Python', 'R', 'SQL', 'Excel', 'Statistics', 'Communication']",,Talent
Business Intelligence Analyst,"Melbourne, Victoria, Australia",,,Probe Group
Data Analyst,"Sydney, New South Wales, Australia",['Statistics'],$40,DataAnnotation
Data and Analytics Specialist,"Virginia, South Australia, Australia","['SQL', 'Power BI', 'Machine Learning', 'Statistics', 'Communication']",,Mitolo Family Farms
Data Analyst,"Sydney, New South Wales, Australia",,,PayTech Group
Senior Data Analyst,"Sydney, New South Wales, Australia","['SQL', 'ETL']",$700,Ommi Solutions
Insight Junior Analyst,"Piccadilly, South Australia, Australia","['Excel', 'Communication']",,JIM - Jobs In Manchester
Data Analyst,"Melbourne, Victoria, Australia","['Python', 'R', 'Power BI', 'Azure', 'Problem-solving']","$95,799 - $104,420 ",City of Port Phillip
